Feature,CRPS
['station_id'],1.53643872603504
"['model_orography', 'station_altitude']",0.9186845228425666
['station_latitude'],0.8039987253043019
['station_longitude'],0.7234770188514569
"['cape_mean', 'cape_std']",0.6772039957661952
"['sd_mean', 'sd_std']",0.6933924892174352
"['stl1_mean', 'stl1_std']",0.9431548700461748
"['swvl1_mean', 'swvl1_std']",0.7359211015398034
"['t2m_mean', 't2m_std']",2.2452918104135438
"['tcc_mean', 'tcc_std']",0.6900266943171103
"['tcw_mean', 'tcw_std']",0.7442464023808315
"['tcwv_mean', 'tcwv_std']",0.7351715525072209
"['u10_mean', 'u10_std']",0.7211229850594799
"['u100_mean', 'u100_std']",0.7554028577043955
"['v10_mean', 'v10_std']",0.7086977031076676
"['v100_mean', 'v100_std']",0.7114481794606304
"['vis_mean', 'vis_std']",0.6920672413777056
"['cp6_mean', 'cp6_std']",0.6907581106698193
"['mn2t6_mean', 'mn2t6_std']",1.48136849876904
"['mx2t6_mean', 'mx2t6_std']",1.3222032998339635
"['p10fg6_mean', 'p10fg6_std']",0.7412997438216189
"['slhf6_mean', 'slhf6_std']",0.7095173643502106
"['sshf6_mean', 'sshf6_std']",0.7535450988893534
"['ssr6_mean', 'ssr6_std']",0.686551404828921
"['ssrd6_mean', 'ssrd6_std']",0.6842484268917186
"['str6_mean', 'str6_std']",0.710218166294853
"['strd6_mean', 'strd6_std']",0.8193542421945809
"['tp6_mean', 'tp6_std']",0.6858042442133236
"['z_mean', 'z_std']",0.7057226873002224
"['q_mean', 'q_std']",0.6842442005410109
"['u_mean', 'u_std']",0.697744016717893
"['v_mean', 'v_std']",0.6847024475118808
"['t_mean', 't_std']",0.8203884950623466
"['cos_doy', 'sin_doy']",0.7151381599555642
