Feature,CRPS_mean,CRPS_shuff0,CRPS_shuff1,CRPS_shuff2
['station_id'],1.0661602889887223,1.0671700041399845,1.0644528849285297,1.0668579778976528
['model_orography'],0.7880560699823894,0.787981481958465,0.7879571602819225,0.7882295677067808
['station_altitude'],0.8196957056687513,0.820943828750802,0.8192503580842138,0.818892930171238
['station_latitude'],0.8081481990802727,0.8080654906724882,0.807595447078291,0.8087836594900386
['station_longitude'],0.791935724218599,0.7920919477111352,0.7919462277853135,0.7917689971593483
"['cape_mean', 'cape_std']",0.7824707822430202,0.7821683612884862,0.7830374579282712,0.7822065275123038
"['sd_mean', 'sd_std']",0.7969840544555864,0.7943122640879852,0.7985973370204202,0.7980425622583539
"['stl1_mean', 'stl1_std']",1.092666959830804,1.1097808684060853,1.0789384262182278,1.089281584868099
"['swvl1_mean', 'swvl1_std']",0.8193984228638455,0.8192174944109679,0.8191687035371006,0.8198090706434682
"['t2m_mean', 't2m_std']",1.5744719635962259,1.5630230445482916,1.560057561039019,1.6003352852013664
"['tcc_mean', 'tcc_std']",0.7965293850329717,0.7966122291057705,0.7957843327301188,0.7971915932630258
"['tcw_mean', 'tcw_std']",0.8000065430738785,0.799013111156908,0.7988179489773513,0.8021885690873763
"['tcwv_mean', 'tcwv_std']",0.8271693030729047,0.8241954934938995,0.8316606502217914,0.8256517655030233
"['u10_mean', 'u10_std']",0.7864661228136747,0.7852283951373847,0.7883141694857583,0.7858558038178811
"['u100_mean', 'u100_std']",0.7971675881639141,0.7967679835285747,0.7986480004132943,0.7960867805498736
"['v10_mean', 'v10_std']",0.7840891612548614,0.7840835742211377,0.7843498574228269,0.7838340521206193
"['v100_mean', 'v100_std']",0.7875102109449278,0.7872462927003159,0.7880790808184284,0.7872052593160392
"['vis_mean', 'vis_std']",0.7944364901559027,0.7951308963250625,0.7941259507854743,0.7940526233571713
"['cp6_mean', 'cp6_std']",0.7851200968600188,0.785270352701986,0.7858408824481826,0.784249055429888
"['mn2t6_mean', 'mn2t6_std']",1.425935024970631,1.4037197929628131,1.4441479510917161,1.4299373308573646
"['mx2t6_mean', 'mx2t6_std']",1.3931215866801983,1.4036750596135104,1.3940299075516265,1.381659792875458
"['p10fg6_mean', 'p10fg6_std']",0.837545444490322,0.8419584223852491,0.8341566642436338,0.8365212468420831
"['slhf6_mean', 'slhf6_std']",0.7976376117245816,0.7983525108081848,0.7963862940853494,0.7981740302802105
"['sshf6_mean', 'sshf6_std']",0.8345314976868733,0.8342352758948813,0.8325114254128181,0.8368477917529208
"['ssr6_mean', 'ssr6_std']",0.7860747153597828,0.7848884163878351,0.7867813610038222,0.7865543686876911
"['ssrd6_mean', 'ssrd6_std']",0.7887307988184006,0.7881758531924558,0.7890075413600324,0.7890090019027138
"['str6_mean', 'str6_std']",0.800712697854975,0.7980102116253318,0.8022931789460288,0.8018347029935644
"['strd6_mean', 'strd6_std']",0.9799341931314673,0.9836933767779744,0.9763257233248427,0.9797834792915848
"['tp6_mean', 'tp6_std']",0.7933862084338948,0.7920727242906994,0.7942605164453694,0.7938253845656155
"['z_mean', 'z_std']",0.7934641577048819,0.7919544338860683,0.7945201244360938,0.7939179147924833
"['q_mean', 'q_std']",0.7897950679569125,0.7897527509265531,0.7909483010071159,0.7886841519370689
"['u_mean', 'u_std']",0.7994736078040945,0.80133038714904,0.7990393367757036,0.7980510994875397
"['v_mean', 'v_std']",0.7892737502804915,0.7895215301877222,0.7889570953775288,0.7893426252762233
"['t_mean', 't_std']",0.8506813661118398,0.8531848697561883,0.8435794054539113,0.8552798231254196
"['cos_doy', 'sin_doy']",0.8024256497124256,0.803378407248047,0.8019122808731853,0.8019862610160445
